2,6,3
4,12,3
8,24,3
16,48,3
32,96,3
64,192,3
128,387,3.02344
256,780,3.04688
512,1605,3.13477
1024,3573,3.48926
2048,9323,4.55225
4096,31072,7.58594
8192,115751,14.1298
16384,455576,27.8062
32768,1812220,55.3046
